time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-03 00:00:00+00:00,1,1,11,4
2026-01-04 00:00:00+00:00,3,2,23,7
2026-01-05 00:00:00+00:00,3,3,17,5
2026-01-06 00:00:00+00:00,5,5,17,8
2026-01-07 00:00:00+00:00,3,3,21,11
2026-01-08 00:00:00+00:00,7,6,6,4
2026-01-09 00:00:00+00:00,1,1,5,1
2026-01-10 00:00:00+00:00,2,2,57,4
2026-01-11 00:00:00+00:00,3,3,1,1
2026-01-12 00:00:00+00:00,4,4,17,10
2026-01-13 00:00:00+00:00,4,4,22,8
2026-01-14 00:00:00+00:00,1,1,6,2
2026-01-15 00:00:00+00:00,1,1,12,7
2026-01-16 00:00:00+00:00,5,2,5,4
