time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-29 00:00:00+00:00,,,5,5
2025-08-31 00:00:00+00:00,,,25,3
2025-09-01 00:00:00+00:00,2.0,2.0,11,5
2025-09-02 00:00:00+00:00,,,9,4
2025-09-03 00:00:00+00:00,1.0,1.0,9,5
2025-09-04 00:00:00+00:00,2.0,2.0,6,5
2025-09-05 00:00:00+00:00,,,69,12
2025-09-06 00:00:00+00:00,,,3,3
2025-09-07 00:00:00+00:00,,,4,3
2025-09-08 00:00:00+00:00,,,16,7
2025-09-09 00:00:00+00:00,,,7,3
2025-09-10 00:00:00+00:00,3.0,2.0,28,8
2025-09-11 00:00:00+00:00,1.0,1.0,9,4
