time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-15 00:00:00+00:00,1.0,1.0,3,2
2024-12-16 00:00:00+00:00,,,16,10
2024-12-17 00:00:00+00:00,1.0,1.0,34,9
2024-12-18 00:00:00+00:00,1.0,1.0,46,9
2024-12-19 00:00:00+00:00,,,38,4
2024-12-20 00:00:00+00:00,,,19,7
2024-12-22 00:00:00+00:00,,,3,2
2024-12-23 00:00:00+00:00,1.0,1.0,21,8
2024-12-24 00:00:00+00:00,1.0,1.0,10,9
2024-12-25 00:00:00+00:00,1.0,1.0,5,5
2024-12-26 00:00:00+00:00,,,17,6
2024-12-27 00:00:00+00:00,1.0,1.0,153,14
2024-12-28 00:00:00+00:00,1.0,1.0,20,4
