time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-12 00:00:00+00:00,,,11,6
2025-05-13 00:00:00+00:00,1.0,1.0,11,4
2025-05-14 00:00:00+00:00,2.0,1.0,7,3
2025-05-15 00:00:00+00:00,,,5,4
2025-05-16 00:00:00+00:00,,,12,5
2025-05-17 00:00:00+00:00,3.0,2.0,14,5
2025-05-18 00:00:00+00:00,1.0,1.0,1,1
2025-05-19 00:00:00+00:00,1.0,1.0,54,9
2025-05-20 00:00:00+00:00,3.0,2.0,23,8
2025-05-21 00:00:00+00:00,1.0,1.0,12,6
2025-05-22 00:00:00+00:00,,,13,8
2025-05-23 00:00:00+00:00,,,9,5
2025-05-24 00:00:00+00:00,1.0,1.0,3,2
2025-05-25 00:00:00+00:00,1.0,1.0,7,4
