time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-25 00:00:00+00:00,1.0,1.0,14,5
2025-11-26 00:00:00+00:00,1.0,1.0,23,10
2025-11-27 00:00:00+00:00,3.0,2.0,24,8
2025-11-28 00:00:00+00:00,3.0,3.0,12,7
2025-11-29 00:00:00+00:00,2.0,2.0,20,6
2025-11-30 00:00:00+00:00,,,11,4
2025-12-01 00:00:00+00:00,1.0,1.0,22,7
2025-12-02 00:00:00+00:00,2.0,2.0,15,4
2025-12-03 00:00:00+00:00,3.0,3.0,12,6
2025-12-04 00:00:00+00:00,1.0,1.0,9,6
2025-12-05 00:00:00+00:00,3.0,2.0,2,2
2025-12-06 00:00:00+00:00,4.0,4.0,7,3
2025-12-07 00:00:00+00:00,2.0,2.0,4,4
2025-12-08 00:00:00+00:00,4.0,4.0,11,8
