time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-21 00:00:00+00:00,2,2,123,9
2026-01-22 00:00:00+00:00,28,7,14,8
2026-01-23 00:00:00+00:00,7,7,14,6
2026-01-24 00:00:00+00:00,1,1,2,2
2026-01-25 00:00:00+00:00,1,1,37,7
2026-01-26 00:00:00+00:00,5,5,15,3
2026-01-27 00:00:00+00:00,4,4,25,8
2026-01-28 00:00:00+00:00,1,1,9,6
2026-01-29 00:00:00+00:00,2,2,31,10
2026-01-30 00:00:00+00:00,2,2,1,1
2026-01-31 00:00:00+00:00,0,0,12,5
2026-02-01 00:00:00+00:00,0,0,32,5
2026-02-02 00:00:00+00:00,5,3,61,16
2026-02-03 00:00:00+00:00,1,1,20,7
