time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-29 00:00:00+00:00,2.0,2.0,27,9
2024-07-30 00:00:00+00:00,1.0,1.0,54,10
2024-07-31 00:00:00+00:00,1.0,1.0,45,7
2024-08-01 00:00:00+00:00,,,187,5
2024-08-02 00:00:00+00:00,3.0,2.0,72,10
2024-08-03 00:00:00+00:00,,,73,2
2024-08-04 00:00:00+00:00,,,26,2
2024-08-05 00:00:00+00:00,1.0,1.0,15,10
2024-08-06 00:00:00+00:00,,,24,8
2024-08-07 00:00:00+00:00,1.0,1.0,38,7
2024-08-08 00:00:00+00:00,,,102,9
2024-08-09 00:00:00+00:00,1.0,1.0,50,12
2024-08-10 00:00:00+00:00,,,60,9
2024-08-11 00:00:00+00:00,1.0,1.0,7,4
