time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-23 00:00:00+00:00,5.0,3.0,37,14
2025-10-24 00:00:00+00:00,4.0,2.0,12,6
2025-10-25 00:00:00+00:00,1.0,1.0,10,5
2025-10-26 00:00:00+00:00,,,44,20
2025-10-27 00:00:00+00:00,2.0,2.0,23,8
2025-10-28 00:00:00+00:00,2.0,2.0,5,5
2025-10-29 00:00:00+00:00,,,12,6
2025-10-30 00:00:00+00:00,2.0,1.0,12,9
2025-10-31 00:00:00+00:00,5.0,4.0,18,9
2025-11-01 00:00:00+00:00,,,17,5
2025-11-02 00:00:00+00:00,1.0,1.0,33,6
2025-11-03 00:00:00+00:00,1.0,1.0,24,6
2025-11-04 00:00:00+00:00,1.0,1.0,47,12
2025-11-05 00:00:00+00:00,1.0,1.0,11,8
